Time	Acceleration - Dev3_ai0	Acceleration - Dev3_ai1	Acceleration - Dev3_ai2
2.785156E-1	3.318687E-3	6.051008E-3	5.132130E-3
2.791211E-1	4.972259E-3	5.288245E-3	-4.769320E-6
2.797266E-1	3.532248E-3	3.024366E-3	-2.307181E-5
2.803320E-1	2.488851E-3	6.807668E-3	5.711708E-3
2.809375E-1	3.288179E-3	3.256246E-3	1.026271E-3
2.815430E-1	6.503796E-3	7.430082E-3	1.544842E-3
2.821484E-1	4.063100E-3	6.819872E-3	2.161025E-3
2.827539E-1	2.641394E-3	2.365339E-3	3.301881E-3
2.833594E-1	5.570229E-3	7.009037E-3	6.815959E-3
2.839648E-1	3.776318E-3	5.703188E-3	3.966871E-3
2.845703E-1	3.001397E-3	7.625350E-3	8.676494E-4
2.851758E-1	4.081405E-3	6.661218E-3	3.881459E-3
2.857812E-1	1.634607E-3	1.419514E-3	1.453329E-3
2.863867E-1	4.441407E-3	4.220378E-3	2.594184E-3
2.869922E-1	3.666486E-3	9.706166E-3	2.899226E-3
2.875977E-1	5.313956E-3	2.084643E-3	4.649946E-4
2.882031E-1	6.082776E-3	4.116642E-3	2.990738E-3
2.888086E-1	5.332261E-3	7.094467E-3	6.547522E-3
2.894141E-1	2.043424E-3	4.476666E-3	-1.694917E-4
2.900195E-1	6.436676E-3	6.002191E-3	1.721548E-4
2.906250E-1	6.015656E-3	4.928221E-3	3.667930E-3
2.912305E-1	2.238679E-3	1.517147E-3	1.636354E-3
2.918359E-1	4.966157E-3	9.474286E-3	5.577490E-3
2.924414E-1	3.800725E-3	6.313398E-3	2.002404E-3
2.930469E-1	5.033276E-3	4.061723E-3	2.057311E-3
2.936523E-1	6.528203E-3	9.468184E-3	7.810394E-3
2.942578E-1	1.909185E-3	1.010673E-3	3.118856E-3
2.948633E-1	6.631932E-3	7.967067E-3	-9.628177E-5
2.954688E-1	7.004138E-3	7.308040E-3	3.466603E-3
2.960742E-1	3.214958E-3	1.864967E-3	1.508237E-3
2.966797E-1	5.277346E-3	3.323369E-3	3.881459E-3
2.972852E-1	4.697681E-3	8.479644E-3	2.917528E-3
2.978906E-1	3.330891E-3	1.864967E-3	-1.218834E-3
2.984961E-1	5.381075E-3	7.979271E-3	4.381727E-3
2.991016E-1	4.197338E-3	4.690239E-3	5.852027E-3
2.997070E-1	3.123432E-3	3.951885E-3	-4.318274E-4
3.003125E-1	6.894307E-3	8.534562E-3	1.679060E-3
3.009180E-1	2.342409E-3	4.019008E-3	3.289679E-3
3.015234E-1	3.587164E-3	3.573555E-3	3.277477E-3
3.021289E-1	5.381075E-3	8.150130E-3	4.314618E-3
3.027344E-1	3.160042E-3	3.439309E-3	-1.066314E-3
3.033398E-1	5.667857E-3	6.234071E-3	2.844318E-3
3.039453E-1	5.301753E-3	1.100591E-2	7.523655E-3
3.045508E-1	4.063100E-3	1.596475E-3	1.520438E-3
3.051563E-1	8.913983E-3	1.049334E-2	2.295244E-3
3.057617E-1	3.983777E-3	7.582635E-3	4.168198E-3
3.063672E-1	1.237994E-3	2.212787E-3	9.469602E-4
3.069727E-1	4.789207E-3	4.019008E-3	4.149896E-3
3.075781E-1	4.758698E-3	9.053241E-3	2.917528E-3
3.081836E-1	3.288347E-4	2.102949E-3	-2.390194E-3
3.087891E-1	3.221059E-3	8.430827E-3	5.388364E-3
3.093945E-1	4.148524E-3	3.469819E-3	4.369526E-3
3.100000E-1	4.728189E-3	3.799333E-3	1.331510E-6
3.106055E-1	5.747180E-3	1.063979E-2	3.686233E-3
3.112109E-1	1.225790E-3	7.970996E-4	4.039863E-4
3.118164E-1	5.088192E-3	3.707801E-3	1.496035E-3
3.124219E-1	4.850224E-3	6.594095E-3	3.893661E-3
3.130273E-1	1.048840E-3	4.299705E-3	-1.505573E-3
3.136328E-1	3.648181E-3	6.758851E-3	4.741676E-3
3.142383E-1	4.984462E-3	8.900688E-3	5.827624E-3
3.148437E-1	2.202069E-3	-2.707679E-4	1.849883E-3
3.154492E-1	4.777003E-3	7.960965E-3	2.789411E-3
3.160547E-1	3.800725E-3	3.170817E-3	1.520438E-3
3.166602E-1	5.082090E-3	3.036570E-3	9.469602E-4
3.172656E-1	4.118015E-3	4.012906E-3	4.143795E-3
3.178711E-1	2.580377E-3	6.288990E-3	1.788875E-3
3.184766E-1	5.631247E-3	5.141795E-3	1.843564E-4
3.190820E-1	7.382446E-3	1.055436E-2	5.815423E-3
3.196875E-1	9.756191E-4	-9.380700E-5	2.405059E-3
3.202930E-1	3.294280E-3	6.612401E-3	3.131057E-3
3.208984E-1	5.612942E-3	9.224100E-3	3.539813E-3
